Major,SchoolWorkHours,Terms,CreditHours,Distance,Roommates,Job,SchoolMaterialsDollars,Salary,Activity,Height,CatsOrDogs,Email,TextMessages,Phone,Gaming,GamingHours,Profile,SocialTime,SubjectPreferred,International,States
Computer Science,12,10,13,2.4,4,7,500,40000,0,70,Dog,4,6,Android,Computer,2,FALSE,120,Math,TRUE,9
Mechanical Engineering,14,10,13,233,0,2,400,80000,120,70,Dog,15,14,iOS,Computer,24,TRUE,30,Math,TRUE,7
Mechanical Engineering,24,4,14,0.3,3,1,250,55000,15,67,Dog,9,15,iOS,Mobile Device,2,TRUE,180,Math,TRUE,9
Civil or CEM,8,7,15,1,18,2,500,60000,30,72,Dog,16,47,iOS,Console,0,TRUE,60,Math,TRUE,12
Computer Science,5,9,14,297.1946012269939,2,2,100,80000,30,80,Cat,8,0,Android,Computer,3,TRUE,60,Writing,FALSE,1
Computer Science,18,4,15,88,5,1,100,68000,40,72,Dog,2,5,Android,Computer,25,TRUE,20,Math,TRUE,10
Mechanical Engineering,16,7,17,2537,4,3,350,65000,10,68.5,Cat,8,37,Android,Console,6,TRUE,30,Math,TRUE,7
Computer Science,5,4,17,297.1946012269939,3,2,150,100000,45,63,Dog,10,30,iOS,Mobile Device,2,TRUE,75,Math,TRUE,8
Mechanical Engineering,33,4,14,60,3,6,300,62000,45,69,Cat,14,35,iOS,Console,2,TRUE,60,Math,TRUE,12
Mechanical Engineering,22.800925925925927,6,14,2.5,2,12,250,85000,120,69,Dog,21,7,iOS,Computer,0,TRUE,84,Math,TRUE,12
Computer Science,40,11,12,6.6,4,5,150,65000,45,70,Dog,2,30,iOS,Console,10,TRUE,0,Math,TRUE,21
Civil or CEM,10,9,15,297.1946012269939,4,4,300,67000,30,70,Dog,12,10,Android,Computer,10,TRUE,30,Math,TRUE,4
Civil or CEM,31,4,15,85.8,3,1,250,55000,90,75,Dog,3,1,iOS,Computer,8,TRUE,192,Math,TRUE,17
Mechanical Engineering,26,4,17,5000,2,0,250,60000,300,66,Dog,6,2,iOS,Computer,7,TRUE,420,Math,TRUE,6
Computer Science,10,13,15,0.1,4,5,300,80000,120,72,Dog,20,15,iOS,Computer,0,TRUE,70,Math,TRUE,10
Civil or CEM,20,9,12,1,1,0,300,40000,20,70,Dog,4,50,iOS,Computer,5,TRUE,60,Math,TRUE,1
Mechanical Engineering,12,7,12,2.6,1,4,200,63000,120,74,Dog,10,22,Android,Console,4,TRUE,0,Math,TRUE,7
Computer Science,10,6,16,1,0,1,750,68000,30,73,Dog,11,5,iOS,Console,10,TRUE,90,Writing,FALSE,8
Computer Science,10,4,12,0.2,4,2,200,70000,10,69,Cat,3,8,Android,Computer,40,TRUE,60,Writing,TRUE,12
Mechanical Engineering,40,13,12,0.25,17,20,247.4047619047619,75000,20,70.5,Dog,5,15,Android,Computer,0,TRUE,120,Math,TRUE,12
Civil or CEM,16,3,16,70,1,1,150,60000,120,72,Dog,8,30,iOS,Console,10,TRUE,120,Math,TRUE,12
Computer Science,10,7,17,0.3,1,5,50,80000,60,69,Dog,2,100,iOS,Computer,24,TRUE,120,Math,TRUE,9
Computer Science,13.5,4,13,80,3,1,350,70000,90,74,Dog,13,75,iOS,Computer,35,TRUE,110,Math,TRUE,23
Computer Science,37.5,4,15,297.1946012269939,6,2,100,60000,25,70,Dog,8,10,Android,Computer,5,TRUE,30,Math,FALSE,4
Mechanical Engineering,24,4,14,297.1946012269939,3,2,200,60000,60,71,Dog,4,41.06481481481482,iOS,Computer,3,TRUE,100,Math,TRUE,10
Mechanical Engineering,30,4,15,297.1946012269939,3,3,500,85000,45,70,Dog,11.778801843317972,30,Android,Console,30,TRUE,30,Math,TRUE,5
Mechanical Engineering,20,4,12,1.6,3,1,650,60000,15,69,Dog,7,7,iOS,Computer,30,TRUE,0,Math,TRUE,4
Computer Science,35,5,13,2.1,4,4,200,60000,20,71,Dog,3,10,Android,Computer,7,TRUE,70,Math,TRUE,10
